record_id_document,document_symbol_found,lang_field,doc_url,date_document
842927.0,E/2016/SR.38,English,https://digitallibrary.un.org/record/842927/files/E_2016_SR-38-EN.pdf,2016-07-19
833820.0,S/PV.7736,English,https://digitallibrary.un.org/record/833820/files/S_PV.7736-EN.pdf,2016-07-12
837774.0,A/70/PV.108,English,https://digitallibrary.un.org/record/837774/files/A_70_PV-108-EN.pdf,2016-06-30
833271.0,A/70/PV.103,English,https://digitallibrary.un.org/record/833271/files/A_70_PV-103-EN.pdf,2016-06-13
832177.0,S/PV.7711,English,https://digitallibrary.un.org/record/832177/files/S_PV.7711-EN.pdf,2016-06-10
836724.0,A/70/PV.97,English,https://digitallibrary.un.org/record/836724/files/A_70_PV.97-EN.pdf,2016-06-08
831350.0,S/PV.7704,English,https://digitallibrary.un.org/record/831350/files/S_PV.7704-EN.pdf,2016-06-02
827915.0,S/PV.7685,English,https://digitallibrary.un.org/record/827915/files/S_PV.7685-EN.pdf,2016-05-03
830833.0,E/2016/SR.19,English,https://digitallibrary.un.org/record/830833/files/E_2016_SR-19-EN.pdf,2016-05-02
826964.0,S/PV.7673,English,https://digitallibrary.un.org/record/826964/files/S_PV-7673-EN.pdf,2016-04-18
826686.0,S/PV.7670,English,https://digitallibrary.un.org/record/826686/files/S_PV-7670-EN.pdf,2016-04-14
824312.0,S/PV.7653,English,https://digitallibrary.un.org/record/824312/files/S_PV-7653-EN.pdf,2016-03-21
826909.0,A/70/PV.88,English,https://digitallibrary.un.org/record/826909/files/A_70_PV.88-EN.pdf,2016-03-18
824311.0,S/PV.7652,English,https://digitallibrary.un.org/record/824311/files/S_PV.7652-EN.pdf,2016-03-18
822977.0,S/PV.7642,English,https://digitallibrary.un.org/record/822977/files/S_PV-7642-EN.pdf,2016-03-10
826908.0,A/70/PV.87,English,https://digitallibrary.un.org/record/826908/files/A_70_PV.87-EN.pdf,2016-02-18
820469.0,S/PV.7621,English,https://digitallibrary.un.org/record/820469/files/S_PV.7621-EN.pdf,2016-02-15
818294.0,S/PV.7610,English,https://digitallibrary.un.org/record/818294/files/S_PV.7610-EN.pdf,2016-01-26
824767.0,A/70/PV.82,English,https://digitallibrary.un.org/record/824767/files/A_70_PV.82-EN.pdf,2015-12-23
814712.0,S/PV.7588,English,https://digitallibrary.un.org/record/814712/files/S_PV.7588-EN.pdf,2015-12-18
814703.0,S/PV.7587,English,https://digitallibrary.un.org/record/814703/files/S_PV.7587-EN.pdf,2015-12-17
822406.0,A/70/PV.76,English,https://digitallibrary.un.org/record/822406/files/A_70_PV.76-EN.pdf,2015-12-15
818997.0,A/70/PV.59,English,https://digitallibrary.un.org/record/818997/files/A_70_PV.59-EN.pdf,2015-11-20
812128.0,S/PV.7564,English,https://digitallibrary.un.org/record/812128/files/S_PV.7564-EN.pdf,2015-11-20
811608.0,S/PV.7561,English,https://digitallibrary.un.org/record/811608/files/S_PV.7561-EN.pdf,2015-11-17
817128.0,A/70/PV.45,English,https://digitallibrary.un.org/record/817128/files/A_70_PV.45-EN.pdf,2015-11-03
807991.0,S/PV.7533,English,https://digitallibrary.un.org/record/807991/files/S_PV.7533-EN.pdf,2015-10-13
812182.0,A/C.5/70/SR.3,English,https://digitallibrary.un.org/record/812182/files/A_C.5_70_SR.3-EN.pdf,2015-10-12
816000.0,A/70/PV.29,English,https://digitallibrary.un.org/record/816000/files/A_70_PV.29-EN.pdf,2015-10-12
806126.0,S/PV.7527,English,https://digitallibrary.un.org/record/806126/files/S_PV.7527-EN.pdf,2015-09-30
