record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,lang_field,doc_url,date_document,text_based,speech_index,multiple_matches,tokens,types,sentences,file_name
386988,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/51/PV.104,1997-07-16,7,1997,7,16,A,,51.0,PV.104,,English,https://digitallibrary.un.org/record/242947/files/A_51_PV.104-EN.pdf,1997-07-16,True,0,False,2373,780,112,A_1997_51_PV.104_speech.txt
388371,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/52/PV.5,1997-09-22,7,1997,9,22,A,,52.0,PV.5,,English,https://digitallibrary.un.org/record/244510/files/A_52_PV.5-EN.pdf,1997-09-22,True,0,False,1805,674,72,A_1997_52_PV.5_speech.txt
390430,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/52/PV.49,1997-11-12,7,1997,11,12,A,,52.0,PV.49,,English,https://digitallibrary.un.org/record/248331/files/A_52_PV.49-EN.pdf,1997-11-12,True,0,False,672,315,27,A_1997_52_PV.49_speech.txt
390516,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/52/PV.50,1997-11-20,7,1997,11,20,A,,52.0,PV.50,,English,https://digitallibrary.un.org/record/248783/files/A_52_PV-50-EN.pdf,1997-11-20,True,0,False,844,363,43,A_1997_52_PV.50_speech.txt
390939,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/52/PV.78,1997-12-19,7,1997,12,19,A,,52.0,PV.78,,English,https://digitallibrary.un.org/record/249988/files/A_52_PV-78-EN.pdf,1997-12-19,True,0,False,1196,469,47,A_1997_52_PV.78_speech.txt
393861,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/52/PV.83,1998-04-27,7,1998,4,27,A,,52.0,PV.83,,English,https://digitallibrary.un.org/record/255861/files/A_52_PV.83-EN.pdf,1998-04-27,True,0,False,1634,596,64,A_1998_52_PV.83_speech.txt
395693,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/S-20/PV.1,1998-06-08,7,1998,6,8,A,S-20,,PV.1,,English,https://digitallibrary.un.org/record/256082/files/A_S-20_PV.1-EN.pdf,1998-06-08,True,0,False,909,400,46,A_1998_S-20_PV.1_speech.txt
395909,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/53/PV.6,1998-09-18,7,1998,9,18,A,,53.0,PV.6,,English,https://digitallibrary.un.org/record/260358/files/A_53_PV.6-EN.pdf,1998-09-18,True,0,False,1158,477,45,A_1998_53_PV.6_speech.txt
395911,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/53/PV.7,1998-09-21,7,1998,9,21,A,,53.0,PV.7,,English,https://digitallibrary.un.org/record/260359/files/A_53_PV.7-EN.pdf,1998-09-21,True,0,False,3149,978,134,A_1998_53_PV.7_speech.txt
396347,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/53/PV.29,1998-10-06,7,1998,10,6,A,,53.0,PV.29,,English,https://digitallibrary.un.org/record/261176/files/A_53_PV.29-EN.pdf,1998-10-06,True,0,False,1221,474,51,A_1998_53_PV.29_speech.txt
