record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf,record_id_document,document_symbol_found,lang_field,doc_url,date_document,text_based,two_column_layout,left_column_french,starting_page
305594,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/40/PV.66,1985-11-07,5,1985,11,7,A,,40.0,PV.66,,A_1985_40_PV.66_,A_1985_40_PV.66_speeches.pdf,104289.0,A/40/PV.66,English,https://digitallibrary.un.org/record/104289/files/A_40_PV.66-EN.pdf,1985-11-07,False,False,,2
305795,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/40/PV.75,1985-11-13,5,1985,11,13,A,,40.0,PV.75,,A_1985_40_PV.75_,A_1985_40_PV.75_speeches.pdf,107269.0,A/40/PV.75,English,https://digitallibrary.un.org/record/107269/files/A_40_PV.75-EN.pdf,1985-11-13,False,False,,2
308233,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/40/PV.117,1985-12-16,5,1985,12,16,A,,40.0,PV.117,,A_1985_40_PV.117_,A_1985_40_PV.117_speeches.pdf,110238.0,A/40/PV.117,English,https://digitallibrary.un.org/record/110238/files/A_40_PV.117-EN.pdf,1985-12-16,False,False,,2
310313,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/40/PV.122,1985-12-18,5,1985,12,18,A,,40.0,PV.122,,A_1985_40_PV.122_,A_1985_40_PV.122_speeches.pdf,108765.0,A/40/PV.122,English,https://digitallibrary.un.org/record/108765/files/A_40_PV.122-EN.pdf,1985-12-18,False,False,,2
311356,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/40/PV.124,1986-04-28,5,1986,4,28,A,,40.0,PV.124,,A_1986_40_PV.124_,A_1986_40_PV.124_speeches.pdf,115227.0,A/40/PV.124,English,https://digitallibrary.un.org/record/115227/files/A_40_PV.124-EN.pdf,1986-04-28,False,False,,2
311401,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/40/PV.127,1986-04-30,5,1986,4,30,A,,40.0,PV.127,,A_1986_40_PV.127_,A_1986_40_PV.127_speeches.pdf,116731.0,A/40/PV.127,English,https://digitallibrary.un.org/record/116731/files/A_40_PV.127-EN.pdf,1986-04-30,False,False,,2
311611,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/S-13/PV.1,1986-05-27,5,1986,5,27,A,S-13,,PV.1,,A_1986_S-13_PV.1_,A_1986_S-13_PV.1_speeches.pdf,858165.0,A/S-13/PV.1-8 and Annexes,English,https://digitallibrary.un.org/record/858165/files/A_S-13_PV.1-8_and_Annexes-EN.pdf,1988,False,False,,2
312127,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/S-14/PV.1,1986-09-17,5,1986,9,17,A,S-14,,PV.1,,A_1986_S-14_PV.1_,A_1986_S-14_PV.1_speeches.pdf,120798.0,A/S-14/PV.1,English,https://digitallibrary.un.org/record/120798/files/A_S-14_PV.1-EN.pdf,1986-09-17,False,False,,2
312848,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/41/PV.33,1986-10-10,5,1986,10,10,A,,41.0,PV.33,,A_1986_41_PV.33_,A_1986_41_PV.33_speeches.pdf,122500.0,A/41/PV.33,English,https://digitallibrary.un.org/record/122500/files/A_41_PV.33-EN.pdf,1986-10-10,False,False,,2
313597,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/41/PV.42,1986-10-20,5,1986,10,20,A,,41.0,PV.42,,A_1986_41_PV.42_,A_1986_41_PV.42_speeches.pdf,123103.0,A/41/PV.42,English,https://digitallibrary.un.org/record/123103/files/A_41_PV.42-EN.pdf,1986-10-20,False,False,,2
313829,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/C.1/41/PV.23,1986-10-28,5,1986,10,28,A,C.1,41.0,PV.23,,A_1986_C.1_41_PV.23_,A_1986_C.1_41_PV.23_speeches.pdf,124369.0,A/C.1/41/PV.23,English,https://digitallibrary.un.org/record/124369/files/A_C.1_41_PV.23-EN.pdf,1986-10-28,False,False,,2
314604,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/41/PV.54,1986-11-03,5,1986,11,3,A,,41.0,PV.54,,A_1986_41_PV.54_,A_1986_41_PV.54_speeches.pdf,123369.0,A/41/PV.54,English,https://digitallibrary.un.org/record/123369/files/A_41_PV.54-EN.pdf,1986-11-03,False,False,,2
318092,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/41/PV.102,1986-12-19,5,1986,12,19,A,,41.0,PV.102,,A_1986_41_PV.102_,A_1986_41_PV.102_speeches.pdf,126968.0,A/41/PV.102,English,https://digitallibrary.un.org/record/126968/files/A_41_PV.102-EN.pdf,1986-12-19,False,False,,2
319631,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/42/PV.34,1987-10-12,5,1987,10,12,A,,42.0,PV.34,,A_1987_42_PV.34_,A_1987_42_PV.34_speeches.pdf,146038.0,A/42/PV.34,English,https://digitallibrary.un.org/record/146038/files/A_42_PV.34-EN.pdf,1987-10-12,False,False,,2
319714,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/42/PV.41,1987-10-19,5,1987,10,19,A,,42.0,PV.41,,A_1987_42_PV.41_,A_1987_42_PV.41_speeches.pdf,146404.0,A/42/PV.41,English,https://digitallibrary.un.org/record/146404/files/A_42_PV.41-EN.pdf,1987-10-19,False,False,,2
320000,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/42/PV.44,1987-10-20,5,1987,10,20,A,,42.0,PV.44,,A_1987_42_PV.44_,A_1987_42_PV.44_speeches.pdf,146847.0,A/42/PV.44,English,https://digitallibrary.un.org/record/146847/files/A_42_PV.44-EN.pdf,1987-10-20,False,False,,2
320352,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/C.1/42/PV.20,1987-10-26,5,1987,10,26,A,C.1,42.0,PV.20,,A_1987_C.1_42_PV.20_,A_1987_C.1_42_PV.20_speeches.pdf,147760.0,A/C.1/42/PV.20,English,https://digitallibrary.un.org/record/147760/files/A_C.1_42_PV.20-EN.pdf,1987-10-26,False,False,,2
320400,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/42/PV.48,1987-10-26,5,1987,10,26,A,,42.0,PV.48,,A_1987_42_PV.48_,A_1987_42_PV.48_speeches.pdf,148892.0,A/42/PV.48,English,https://digitallibrary.un.org/record/148892/files/A_42_PV.48-EN.pdf,1987-10-26,False,False,,2
321125,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/42/PV.64,1987-11-11,5,1987,11,11,A,,42.0,PV.64,,A_1987_42_PV.64_,A_1987_42_PV.64_speeches.pdf,149311.0,A/42/PV.64,English,https://digitallibrary.un.org/record/149311/files/A_42_PV-64-EN.pdf,1987-11-11,False,False,,2
325761,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/42/PV.100,1988-02-29,5,1988,2,29,A,,42.0,PV.100,,A_1988_42_PV.100_,A_1988_42_PV.100_speeches.pdf,157764.0,A/42/PV.100,English,https://digitallibrary.un.org/record/157764/files/A_42_PV-100-EN.pdf,1988-02-29,False,False,,2
325893,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/42/PV.105,1988-03-18,5,1988,3,18,A,,42.0,PV.105,,A_1988_42_PV.105_,A_1988_42_PV.105_speeches.pdf,159052.0,A/42/PV.105,English,https://digitallibrary.un.org/record/159052/files/A_42_PV.105-EN.pdf,1988-03-18,False,False,,2
326238,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/42/PV.110,1988-05-11,5,1988,5,11,A,,42.0,PV.110,,A_1988_42_PV.110_,A_1988_42_PV.110_speeches.pdf,38279.0,A/42/PV.110,English,https://digitallibrary.un.org/record/38279/files/A_42_PV.110-EN.pdf,1988-05-11,False,False,,2
326292,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/S-15/PV.1,1988-05-31,5,1988,5,31,A,S-15,,PV.1,,A_1988_S-15_PV.1_,A_1988_S-15_PV.1_speeches.pdf,39664.0,A/S-15/PV.1,English,https://digitallibrary.un.org/record/39664/files/A_S-15_PV.1-EN.pdf,1988-05-31,False,False,,2
327035,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/42/PV.114,1988-08-16,5,1988,8,16,A,,42.0,PV.114,,A_1988_42_PV.114_,A_1988_42_PV.114_speeches.pdf,45283.0,A/42/PV.114,English,https://digitallibrary.un.org/record/45283/files/A_42_PV.114-EN.pdf,1988-08-16,False,False,,2
327037,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/42/PV.115,1988-08-17,5,1988,8,17,A,,42.0,PV.115,,A_1988_42_PV.115_,A_1988_42_PV.115_speeches.pdf,45282.0,A/42/PV.115,English,https://digitallibrary.un.org/record/45282/files/A_42_PV.115-EN.pdf,1988-08-17,False,False,,2
327191,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/43/PV.10,1988-09-29,5,1988,9,29,A,,43.0,PV.10,,A_1988_43_PV.10_,A_1988_43_PV.10_speeches.pdf,48278.0,A/43/PV.10,English,https://digitallibrary.un.org/record/48278/files/A_43_PV.10-EN.pdf,1988-09-29,False,False,,2
327942,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/43/PV.38,1988-10-27,5,1988,10,27,A,,43.0,PV.38,,A_1988_43_PV.38_,A_1988_43_PV.38_speeches.pdf,50461.0,A/43/PV.38,English,https://digitallibrary.un.org/record/50461/files/A_43_PV.38-EN.pdf,1988-10-27,False,False,,2
328091,"Pérez de Cuéllar, Javier, 1920-2020",UN. Secretary-General,A/C.1/43/PV.18,1988-10-28,5,1988,10,28,A,C.1,43.0,PV.18,,A_1988_C.1_43_PV.18_,A_1988_C.1_43_PV.18_speeches.pdf,54703.0,A/C.1/43/PV.18,English,https://digitallibrary.un.org/record/54703/files/A_C.1_43_PV.18-EN.pdf,1988-10-28,False,False,,2
