record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf,record_id_document,document_symbol_found,lang_field,doc_url,date_document
4063631,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9731,2024-09-24,9,2024,9,24,S,,,PV.9731,,S_2024_PV.9731_,S_2024_PV.9731_speeches.pdf,4063462.0,S/PV.9731,English,https://digitallibrary.un.org/record/4063462/files/S_PV.9731-EN.pdf,2024-09-24
4075094,"Guterres, António, 1949-",UN. Secretary-General,A/79/PV.3,2024-09-22,9,2024,9,22,A,,79.0,PV.3,,A_2024_79_PV.3_,A_2024_79_PV.3_speeches.pdf,4074034.0,A/79/PV.3,English,https://digitallibrary.un.org/record/4074034/files/A_79_PV.3-EN.pdf,2024-09-22
4078416,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.109,2024-09-10,9,2024,9,10,A,,78.0,PV.109,,A_2024_78_PV.109_,A_2024_78_PV.109_speeches.pdf,4076529.0,A/78/PV.109,English,https://digitallibrary.un.org/record/4076529/files/A_78_PV.109-EN.pdf,2024-09-10
4075008,"Guterres, António, 1949-",UN. Secretary-General,A/79/PV.1,2024-09-10,9,2024,9,10,A,,79.0,PV.1,,A_2024_79_PV.1_,A_2024_79_PV.1_speeches.pdf,4074560.0,A/79/PV.1,English,https://digitallibrary.un.org/record/4074560/files/A_79_PV.1-EN.pdf,2024-09-10
4060660,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9702,2024-08-12,9,2024,8,12,S,,,PV.9702,,S_2024_PV.9702_,S_2024_PV.9702_speeches.pdf,4060657.0,S/PV.9702,English,https://digitallibrary.un.org/record/4060657/files/S_PV.9702-EN.pdf,2024-08-12
4068954,"Guterres, António, 1949-",UN. Secretary-General,E/2024/SR.25,2024-06-25,9,2024,6,25,E,,2024.0,SR.25,,E_2024_2024_SR.25_,E_2024_2024_SR.25_speeches.pdf,4064666.0,E/2024/SR.25,English,https://digitallibrary.un.org/record/4064666/files/E_2024_SR.25-EN.pdf,2024-06-25
4054808,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9662,2024-06-20,9,2024,6,20,S,,,PV.9662,,S_2024_PV.9662_,S_2024_PV.9662_speeches.pdf,4054497.0,S/PV.9662,English,https://digitallibrary.un.org/record/4054497/files/S_PV.9662-EN.pdf,2024-06-20
4072438,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.87,2024-06-06,9,2024,6,6,A,,78.0,PV.87,,A_2024_78_PV.87_,A_2024_78_PV.87_speeches.pdf,4071864.0,A/78/PV.87,English,https://digitallibrary.un.org/record/4071864/files/A_78_PV.87-EN.pdf,2024-06-06
4072413,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.83,2024-05-30,9,2024,5,30,A,,78.0,PV.83,,A_2024_78_PV.83_,A_2024_78_PV.83_speeches.pdf,4071964.0,A/78/PV.83,English,https://digitallibrary.un.org/record/4071964/files/A_78_PV.83-EN.pdf,2024-05-30
4052779,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9633,2024-05-23,9,2024,5,23,S,,,PV.9633,,S_2024_PV.9633_,S_2024_PV.9633_speeches.pdf,4051329.0,S/PV.9633,English,https://digitallibrary.un.org/record/4051329/files/S_PV.9633-EN.pdf,2024-05-23
4067194,"Guterres, António, 1949-",UN. Secretary-General,E/2024/SR.14,2024-05-14,9,2024,5,14,E,,2024.0,SR.14,,E_2024_2024_SR.14_,E_2024_2024_SR.14_speeches.pdf,4065530.0,E/2024/SR.14,English,https://digitallibrary.un.org/record/4065530/files/E_2024_SR.14-EN.pdf,2024-05-14
4071640,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.81,2024-05-07,9,2024,5,7,A,,78.0,PV.81,,A_2024_78_PV.81_,A_2024_78_PV.81_speeches.pdf,4071418.0,A/78/PV.81,English,https://digitallibrary.un.org/record/4071418/files/A_78_PV.81-EN.pdf,2024-05-07
4048009,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9608,2024-04-18,9,2024,4,18,S,,,PV.9608,,S_2024_PV.9608_,S_2024_PV.9608_speeches.pdf,4046708.0,S/PV.9608,English,https://digitallibrary.un.org/record/4046708/files/S_PV.9608-EN.pdf,2024-04-18
4045376,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9602,2024-04-14,9,2024,4,14,S,,,PV.9602,,S_2024_PV.9602_,S_2024_PV.9602_speeches.pdf,4045308.0,S/PV.9602,English,https://digitallibrary.un.org/record/4045308/files/S_PV.9602-EN.pdf,2024-04-14
4043119,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9579,2024-03-18,9,2024,3,18,S,,,PV.9579,,S_2024_PV.9579_,S_2024_PV.9579_speeches.pdf,4042996.0,S/PV.9579,English,https://digitallibrary.un.org/record/4042996/files/S_PV.9579-EN.pdf,2024-03-18
4071417,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.62,2024-03-15,9,2024,3,15,A,,78.0,PV.62,,A_2024_78_PV.62_,A_2024_78_PV.62_speeches.pdf,4071272.0,A/78/PV.62,English,https://digitallibrary.un.org/record/4071272/files/A_78_PV.62-EN.pdf,2024-03-15
4041011,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9567,2024-03-07,9,2024,3,7,S,,,PV.9567,,S_2024_PV.9567_,S_2024_PV.9567_speeches.pdf,4040942.0,S/PV.9567,English,https://digitallibrary.un.org/record/4040942/files/S_PV.9567-EN.pdf,2024-03-07
4040209,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9557,2024-02-23,9,2024,2,23,S,,,PV.9557,,S_2024_PV.9557_,S_2024_PV.9557_speeches.pdf,4039202.0,S/PV.9557,English,https://digitallibrary.un.org/record/4039202/files/S_PV.9557-EN.pdf,2024-02-23
4039683,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9547,2024-02-13,9,2024,2,13,S,,,PV.9547,,S_2024_PV.9547_,S_2024_PV.9547_speeches.pdf,4038062.0,S/PV.9547,English,https://digitallibrary.un.org/record/4038062/files/S_PV.9547-EN.pdf,2024-02-13
4067047,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.55,2024-02-07,9,2024,2,7,A,,78.0,PV.55,,A_2024_78_PV.55_,A_2024_78_PV.55_speeches.pdf,4066884.0,A/78/PV.55,English,https://digitallibrary.un.org/record/4066884/files/A_78_PV.55-EN.pdf,2024-02-07
4052117,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.54,2024-02-07,9,2024,2,7,A,,78.0,PV.54,,A_2024_78_PV.54_,A_2024_78_PV.54_speeches.pdf,4050002.0,A/78/PV.54,English,https://digitallibrary.un.org/record/4050002/files/A_78_PV.54-EN.pdf,2024-02-07
4037033,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9534,2024-01-23,9,2024,1,23,S,,,PV.9534,,S_2024_PV.9534_,S_2024_PV.9534_speeches.pdf,4036129.0,S/PV.9534,English,https://digitallibrary.un.org/record/4036129/files/S_PV.9534-EN.pdf,2024-01-23
4060295,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.50 (Resumption 1),2023-12-20,9,2023,12,20,A,,78.0,PV.50,RESUMPTION_1,A_2023_78_PV.50_RESUMPTION_1_,A_2023_78_PV.50_RESUMPTION_1_speeches.pdf,4059496.0,A/78/PV.50 (Resumption 1),English,https://digitallibrary.un.org/record/4059496/files/A_78_PV.50_%28Resumption_1%29-EN.pdf,2023-12-20
4036286,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9498,2023-12-08,9,2023,12,8,S,,,PV.9498,,S_2023_PV.9498_,S_2023_PV.9498_speeches.pdf,4030689.0,S/PV.9498,English,https://digitallibrary.un.org/record/4030689/files/S_PV.9498-EN.pdf,2023-12-08
4035992,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9497,2023-12-07,9,2023,12,7,S,,,PV.9497,,S_2023_PV.9497_,S_2023_PV.9497_speeches.pdf,4030402.0,S/PV.9497,English,https://digitallibrary.un.org/record/4030402/files/S_PV.9497-EN.pdf,2023-12-07
4035827,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9489,2023-11-29,9,2023,11,29,S,,,PV.9489,,S_2023_PV.9489_,S_2023_PV.9489_speeches.pdf,4030006.0,S/PV.9489,English,https://digitallibrary.un.org/record/4030006/files/S_PV.9489-EN.pdf,2023-11-29
4035548,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9482,2023-11-20,9,2023,11,20,S,,,PV.9482,,S_2023_PV.9482_,S_2023_PV.9482_speeches.pdf,4028737.0,S/PV.9482,English,https://digitallibrary.un.org/record/4028737/files/S_PV.9482-EN.pdf,2023-11-20
