record_id,speech_code,lang_field,doc_url,date
4051329,S/PV.9633,English,https://digitallibrary.un.org/record/4051329/files/S_PV.9633-EN.pdf,2024-05-23
4065530,E/2024/SR.14,English,https://digitallibrary.un.org/record/4065530/files/E_2024_SR.14-EN.pdf,2024-05-14
4071418,A/78/PV.81,English,https://digitallibrary.un.org/record/4071418/files/A_78_PV.81-EN.pdf,2024-05-07
4048625,S/PV.9608 (Resumption 2),English,https://digitallibrary.un.org/record/4048625/files/S_PV.9608_%28Resumption_2%29-EN.pdf,2024-04-25
4047435,S/PV.9608 (Resumption 1),English,https://digitallibrary.un.org/record/4047435/files/S_PV.9608_%28Resumption_1%29-EN.pdf,2024-04-18
4046708,S/PV.9608,English,https://digitallibrary.un.org/record/4046708/files/S_PV.9608-EN.pdf,2024-04-18
4045308,S/PV.9602,English,https://digitallibrary.un.org/record/4045308/files/S_PV.9602-EN.pdf,2024-04-14
4042996,S/PV.9579,English,https://digitallibrary.un.org/record/4042996/files/S_PV.9579-EN.pdf,2024-03-18
4071272,A/78/PV.62,English,https://digitallibrary.un.org/record/4071272/files/A_78_PV.62-EN.pdf,2024-03-15
4040942,S/PV.9567,English,https://digitallibrary.un.org/record/4040942/files/S_PV.9567-EN.pdf,2024-03-07
4039202,S/PV.9557,English,https://digitallibrary.un.org/record/4039202/files/S_PV.9557-EN.pdf,2024-02-23
4038532,S/PV.9547 (Resumption 2),English,https://digitallibrary.un.org/record/4038532/files/S_PV.9547_%28Resumption_2%29-EN.pdf,2024-02-14
4038393,S/PV.9547 (Resumption 1),English,https://digitallibrary.un.org/record/4038393/files/S_PV.9547_%28Resumption_1%29-EN.pdf,2024-02-13
4038062,S/PV.9547,English,https://digitallibrary.un.org/record/4038062/files/S_PV.9547-EN.pdf,2024-02-13
4066884,A/78/PV.55,English,https://digitallibrary.un.org/record/4066884/files/A_78_PV.55-EN.pdf,2024-02-07
4050002,A/78/PV.54,English,https://digitallibrary.un.org/record/4050002/files/A_78_PV.54-EN.pdf,2024-02-07
4036129,S/PV.9534,English,https://digitallibrary.un.org/record/4036129/files/S_PV.9534-EN.pdf,2024-01-23
4035883,S/PV.9534 (Resumption 1),English,https://digitallibrary.un.org/record/4035883/files/S_PV.9534_%28Resumption_1%29-EN.pdf,2024-01-24
4030689,S/PV.9498,English,https://digitallibrary.un.org/record/4030689/files/S_PV.9498-EN.pdf,2023-12-08
4030601,S/PV.9497 (Resumption 1),English,https://digitallibrary.un.org/record/4030601/files/S_PV.9497_%28Resumption_1%29-EN.pdf,2023-12-07
4030402,S/PV.9497,English,https://digitallibrary.un.org/record/4030402/files/S_PV.9497-EN.pdf,2023-12-07
4030006,S/PV.9489,English,https://digitallibrary.un.org/record/4030006/files/S_PV.9489-EN.pdf,2023-11-29
4028879,S/PV.9482 (Resumption 1),English,https://digitallibrary.un.org/record/4028879/files/S_PV.9482_%28Resumption_1%29-EN.pdf,2023-11-20
4028737,S/PV.9482,English,https://digitallibrary.un.org/record/4028737/files/S_PV.9482-EN.pdf,2023-11-20
