record_id,speaker,speaker_organization,document_symbol,document_symbol_searchable,date,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf
4071640,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.81,A/78/PV.81,2024-05-07,2024,5,7,A,,78,PV.81,,A_2024_78_PV.81_,A_2024_78_PV.81_speeches.pdf
4048009,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9608,SPV9608,2024-04-18,2024,4,18,S,,,PV.9608,,S_2024_PV.9608_,S_2024_PV.9608_speeches.pdf
4045376,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9602,SPV9602,2024-04-14,2024,4,14,S,,,PV.9602,,S_2024_PV.9602_,S_2024_PV.9602_speeches.pdf
4043119,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9579,SPV9579,2024-03-18,2024,3,18,S,,,PV.9579,,S_2024_PV.9579_,S_2024_PV.9579_speeches.pdf
4071417,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.62,A/78/PV.62,2024-03-15,2024,3,15,A,,78,PV.62,,A_2024_78_PV.62_,A_2024_78_PV.62_speeches.pdf
4041011,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9567,SPV9567,2024-03-07,2024,3,7,S,,,PV.9567,,S_2024_PV.9567_,S_2024_PV.9567_speeches.pdf
4040209,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9557,SPV9557,2024-02-23,2024,2,23,S,,,PV.9557,,S_2024_PV.9557_,S_2024_PV.9557_speeches.pdf
4039683,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9547,SPV9547,2024-02-13,2024,2,13,S,,,PV.9547,,S_2024_PV.9547_,S_2024_PV.9547_speeches.pdf
4067047,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.55,A/78/PV.55,2024-02-07,2024,2,7,A,,78,PV.55,,A_2024_78_PV.55_,A_2024_78_PV.55_speeches.pdf
4052117,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.54,A/78/PV.54,2024-02-07,2024,2,7,A,,78,PV.54,,A_2024_78_PV.54_,A_2024_78_PV.54_speeches.pdf
4037033,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9534,SPV9534,2024-01-23,2024,1,23,S,,,PV.9534,,S_2024_PV.9534_,S_2024_PV.9534_speeches.pdf
4060295,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.50 (Resumption 1),A/78/PV.50 (Resumption 1),2023-12-20,2023,12,20,A,,78,PV.50,_RESUMPTION_1,A_2023_78_PV.50__RESUMPTION_1_,A_2023_78_PV.50__RESUMPTION_1_speeches.pdf
4036286,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9498,SPV9498,2023-12-08,2023,12,8,S,,,PV.9498,,S_2023_PV.9498_,S_2023_PV.9498_speeches.pdf
4035992,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9497,SPV9497,2023-12-07,2023,12,7,S,,,PV.9497,,S_2023_PV.9497_,S_2023_PV.9497_speeches.pdf
4035827,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9489,SPV9489,2023-11-29,2023,11,29,S,,,PV.9489,,S_2023_PV.9489_,S_2023_PV.9489_speeches.pdf
4035548,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9482,SPV9482,2023-11-20,2023,11,20,S,,,PV.9482,,S_2023_PV.9482_,S_2023_PV.9482_speeches.pdf
4034299,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9452,SPV9452,2023-10-25,2023,10,25,S,,,PV.9452,,S_2023_PV.9452_,S_2023_PV.9452_speeches.pdf
4034004,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9451,SPV9451,2023-10-24,2023,10,24,S,,,PV.9451,,S_2023_PV.9451_,S_2023_PV.9451_speeches.pdf
4043998,"Guterres, António, 1949-",UN. Secretary-General,A/C.5/78/SR.5,A/C.5/78/SR.5,2023-10-10,2023,10,10,A,C.5,78,SR.5,,A_2023_C.5_78_SR.5_,A_2023_C.5_78_SR.5_speeches.pdf
4032054,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9421,SPV9421,2023-09-20,2023,9,20,S,,,PV.9421,,S_2023_PV.9421_,S_2023_PV.9421_speeches.pdf
4040539,"Guterres, António, 1949-",UN. Secretary-General,A/78/PV.4,A/78/PV.4,2023-09-19,2023,9,19,A,,78,PV.4,,A_2023_78_PV.4_,A_2023_78_PV.4_speeches.pdf
4017759,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9381,SPV9381,2023-07-18,2023,7,18,S,,,PV.9381,,S_2023_PV.9381_,S_2023_PV.9381_speeches.pdf
4038580,"Guterres, António, 1949-",UN. Secretary-General,E/2023/SR.36,E/2023/SR.36,2023-07-17,2023,7,17,E,,2023,SR.36,,E_2023_2023_SR.36_,E_2023_2023_SR.36_speeches.pdf
4037679,"Guterres, António, 1949-",UN. Secretary-General,E/2023/SR.30,E/2023/SR.30,2023-06-21,2023,6,21,E,,2023,SR.30,,E_2023_2023_SR.30_,E_2023_2023_SR.30_speeches.pdf
4016060,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9346,SPV9346,2023-06-14,2023,6,14,S,,,PV.9346,,S_2023_PV.9346_,S_2023_PV.9346_speeches.pdf
4032872,"Guterres, António, 1949-",UN. Secretary-General,A/77/PV.74,A/77/PV.74,2023-06-01,2023,6,1,A,,77,PV.74,,A_2023_77_PV.74_,A_2023_77_PV.74_speeches.pdf
4036553,"Guterres, António, 1949-",UN. Secretary-General,E/2023/SR.19,E/2023/SR.19,2023-05-23,2023,5,23,E,,2023,SR.19,,E_2023_2023_SR.19_,E_2023_2023_SR.19_speeches.pdf
4030136,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9327,SPV9327,2023-05-23,2023,5,23,S,,,PV.9327,,S_2023_PV.9327_,S_2023_PV.9327_speeches.pdf
4010388,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9310,SPV9310,2023-04-25,2023,4,25,S,,,PV.9310,,S_2023_PV.9310_,S_2023_PV.9310_speeches.pdf
4009901,"Guterres, António, 1949-",UN. Secretary-General,S/PV.9308,SPV9308,2023-04-24,2023,4,24,S,,,PV.9308,,S_2023_PV.9308_,S_2023_PV.9308_speeches.pdf
